source_no,korean_name,english_name,abbreviation,category,description,note
379,입찰,BID,BID,업무,계약 대상자 선정을 위한 입찰,
380,발주,ORDER,ORDER,업무,사업 또는 물품을 주문함,
381,방식,METHOD,MTHD,공통,업무를 처리하는 방식,
382,재입찰,REBID,REBID,업무,동일 공고에 대한 재입찰,
383,긴급,EMERGENCY,EMRG,상태,긴급하게 처리해야 하는 상태,
384,원천,SOURCE,SRC,공통,정보가 생성되거나 유입된 출처,
385,외부,EXTERNAL,EXT,공통,시스템 또는 조직의 외부,
386,검토,REVIEW,REVIEW,업무,업무 대상의 적정성을 확인함,
387,원,ORIGINAL,ORGNL,공통,변경되기 전의 최초 대상,
388,원문,ORIGINAL,ORGNL,공통,외부에서 수신한 원본 내용,
389,최초,FIRST,FIRST,공통,시간 또는 순서상 처음,
390,최종,LAST,LAST,공통,시간 또는 순서상 마지막,
391,보완,SUPPLEMENT,SUPPL,업무,기존 정보를 추가하거나 보정함,
392,수집,COLLECTION,COLLECT,업무,외부 정보를 모아 저장함,
393,조건,CONDITION,COND,공통,처리 대상을 정하는 조건,
394,키워드,KEYWORD,KWD,공통,검색 또는 분류에 사용하는 단어,
395,실행,EXECUTION,EXEC,상태,기능 또는 작업을 수행함,
396,응답,RESPONSE,RSP,공통,요청에 대한 처리 결과,
397,신규,NEW,NEW,상태,새로 생성되거나 유입됨,
398,중복,DUPLICATE,DUP,상태,같은 대상이 둘 이상 존재함,
399,오류,ERROR,ERR,상태,정상적으로 처리되지 않은 상태,
400,재처리,REPROCESSING,REPROC,상태,실패한 처리를 다시 수행함,
401,전환,CONVERSION,CONVERT,업무,한 업무 대상을 다른 단계로 바꿈,
402,연계,RELATION,REL,업무,업무 또는 시스템 간 연결,
403,API,APPLICATION PROGRAMMING INTERFACE,API,업무,시스템 간 호출 인터페이스,
404,기본,BASE,BASE,공통,대상의 기준이 되는 값,
405,서비스키,SERVICE KEY,SERVICE_KEY,보안,외부 API 인증에 사용하는 키,
406,참조,REFERENCE,REF,공통,다른 값 또는 대상을 가리킴,
407,형식,FORMAT,FORMAT,공통,데이터의 표현 형식,
408,페이지당,PER PAGE,PAGE,단위,한 페이지를 기준으로 함,
409,최대,MAXIMUM,MAX,단위,허용되는 가장 큰 값,
410,호출,CALL,CALL,업무,외부 기능이나 API를 실행 요청함,
411,연결,CONNECTION,CONN,업무,시스템 또는 네트워크 접속,
412,타임아웃,TIMEOUT,TIMEOUT,상태,허용된 처리시간 초과,
413,초,SECOND,SEC,단위,시간을 초 단위로 나타냄,
414,HTTP,HYPERTEXT TRANSFER PROTOCOL,HTTP,업무,웹 통신 프로토콜,
415,결과,RESULT,RESULT,공통,처리 후 산출된 상태 또는 값,
